Entry,Entry Category,Origin,Entry Status,GitHub URL,Slug,Sorting Algorithm,EntryNumber,State,Entry Summary,Record ID
Scalable Vector Graphics (SVG),,programming,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/svg.md,svg,71,72,Active,,recg3Rqm9Mi8uG8si
timelapse,,photography,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/timelapse.md,timelapse,0,82,Active,,recub77eafB2CZByg
timeline,data visualization,design,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/timeline.md,timeline,0,83,Draft,,recI68GVedQFoHEdu
treemap,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/treemap.md,treemap,0,,Active,,recoa6pwUcjtgync8
uncertainty,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/uncertainty.md,uncertainty,0,,Draft,,recB9krBC0uN394BB
variable,,programming,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/variable.md,variable,177,84,Draft,,recMzRwhjtIwf6wU3
variable (programming),,programming,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/variable-programming.md,variable-programming,0,85,Draft,,recQWeKOp36I1QhLH
vector graphics,,programming,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/vector-graphics.md,vector-graphics,0,86,Draft,,rec9CTJfbM3vNstLW
video,,web,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/video.md,video,140,87,Draft,,recNnz8ddAIKPcbOv
viewport,,web,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/viewport.md,viewport,0,88,Draft,,recFoPXPCsq20ByzR
violin plot,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/violin-plot.md,violin-plot,0,,Active,,recl0oLGH6Bxzp9GO
visual investigation,,journalism,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/visual-investigation.md,visual-investigation,0,89,Draft,,rec1cMUVhSGrHyb4C
Voronoi diagram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/voronoi-diagram.md,voronoi-diagram,0,,Active,,recOwjwR1e8Qzf0E6
waveform,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/waveform.md,waveform,0,90,Draft,,rec8DKdgRjb7yuqFe
wayfinder,,,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/wayfinder.md,wayfinder,748,91,Active,,recGB49QavoAYEE0z
web scraping,,programming,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/web-scraping.md,web-scraping,278,92,Active,,rec9NixqA6AoITejl
word cloud,data visualization,,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/word-cloud.md,word-cloud,434,93,Active,,recVWVRbFXeYRFiI8
zoom out,story technique,cinematography,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/zoom-out.md,zoom-out,154,94,Draft,,recR1sA8MB3fryyry
